index,time,dataset,n_clusters,cluster,num sample,history turn,data ratio,slot acc,turn acc,dialogue acc,checkpoint,feature
0,23-07-15 13:32:32,multiwoz2.2,1,0,0,4,10,88.08,87.08,80.97,,transformer
1,23-07-15 13:32:50,multiwoz2.2,1,0,0,4,10,88.33,87.53,81.11,,transformer
2,23-07-15 13:40:51,multiwoz2.2,1,0,0,4,10,90.58,89.69,85.47,,transformer
3,23-07-15 13:41:11,multiwoz2.2,1,0,0,4,10,90.08,89.13,84.32,,transformer
4,23-07-15 13:49:18,multiwoz2.2,1,0,0,4,10,91.67,90.94,87.1,,transformer
5,23-07-15 13:49:39,multiwoz2.2,1,0,0,4,10,91.0,90.31,85.8,,transformer
6,23-07-15 13:57:46,multiwoz2.2,1,0,0,4,10,93.42,92.88,89.06,,transformer
7,23-07-15 13:58:06,multiwoz2.2,1,0,0,4,10,92.67,92.07,87.77,,transformer
8,23-07-15 14:06:15,multiwoz2.2,1,0,0,4,10,91.67,91.02,86.84,,transformer
9,23-07-15 14:06:34,multiwoz2.2,1,0,0,4,10,92.08,91.47,87.27,,transformer
10,23-07-15 14:14:43,multiwoz2.2,1,0,0,4,10,91.33,90.71,86.62,,transformer
11,23-07-15 14:15:00,multiwoz2.2,1,0,0,4,10,91.67,91.08,86.62,,transformer
12,23-07-15 14:26:14,multiwoz2.2,2,0,0,4,10,72.5,70.71,59.91,,transformer
13,23-07-15 14:26:25,multiwoz2.2,2,0,0,4,10,89.0,87.83,82.54,,transformer
14,23-07-15 14:34:28,multiwoz2.2,2,1,0,4,10,95.83,95.54,93.41,,transformer
15,23-07-15 14:34:59,multiwoz2.2,2,1,0,4,10,89.58,88.86,83.46,,transformer
16,23-07-15 14:43:04,multiwoz2.2,2,0,0,4,10,89.5,88.79,83.16,,transformer
17,23-07-15 14:43:54,multiwoz2.2,2,0,0,4,10,73.58,71.72,60.81,,transformer
18,23-07-15 14:51:10,multiwoz2.2,2,1,0,4,10,96.5,96.2,93.84,,transformer
19,23-07-15 14:52:30,multiwoz2.2,2,1,0,4,10,92.75,92.12,87.98,,transformer
20,23-07-15 14:59:44,multiwoz2.2,2,0,0,4,10,91.92,91.21,86.91,,transformer
21,23-07-15 15:01:11,multiwoz2.2,2,0,0,4,10,76.58,74.73,66.28,,transformer
22,23-07-15 15:07:46,multiwoz2.2,2,1,0,4,10,95.67,95.45,93.42,,transformer
23,23-07-15 15:09:48,multiwoz2.2,2,1,0,4,10,93.83,93.48,90.56,,transformer
24,23-07-15 15:16:20,multiwoz2.2,2,0,0,4,10,90.25,89.17,83.97,,transformer
25,23-07-15 15:18:08,multiwoz2.2,2,0,0,4,10,78.0,76.52,67.57,,transformer
26,23-07-15 15:24:23,multiwoz2.2,2,1,0,4,10,96.75,96.5,94.39,,transformer
27,23-07-15 15:26:44,multiwoz2.2,2,1,0,4,10,92.5,91.91,87.63,,transformer
28,23-07-15 15:32:59,multiwoz2.2,2,0,0,4,10,92.25,91.47,87.64,,transformer
29,23-07-15 15:35:12,multiwoz2.2,2,0,0,4,10,77.33,75.53,67.04,,transformer
30,23-07-15 15:41:03,multiwoz2.2,2,1,0,4,10,96.25,95.97,93.94,,transformer
31,23-07-15 15:43:47,multiwoz2.2,2,1,0,4,10,95.0,94.63,92.5,,transformer
32,23-07-15 15:49:37,multiwoz2.2,2,0,0,4,10,90.75,89.78,84.28,,transformer
33,23-07-15 15:52:34,multiwoz2.2,2,0,0,4,10,78.0,76.06,66.37,,transformer
34,23-07-15 15:57:40,multiwoz2.2,2,1,0,4,10,95.75,95.41,93.15,,transformer
35,23-07-15 16:01:09,multiwoz2.2,2,1,0,4,10,94.17,93.7,90.38,,transformer
36,23-07-15 16:06:14,multiwoz2.2,2,0,0,4,10,91.58,90.84,86.42,,transformer
37,23-07-15 16:09:29,multiwoz2.2,2,0,0,4,10,76.5,74.89,64.36,,transformer
38,23-07-15 16:14:15,multiwoz2.2,2,1,0,4,10,96.83,96.6,94.88,,transformer
39,23-07-15 16:18:06,multiwoz2.2,2,1,0,4,10,94.67,94.28,91.32,,transformer
40,23-07-15 16:22:49,multiwoz2.2,2,0,0,4,10,90.5,89.42,85.43,,transformer
41,23-07-15 16:26:39,multiwoz2.2,2,1,0,4,10,94.75,94.32,91.48,,transformer
42,23-07-15 16:30:48,multiwoz2.2,2,1,0,4,10,96.0,95.71,93.58,,transformer
43,23-07-15 16:37:49,multiwoz2.2,3,0,0,4,10,89.67,88.53,82.67,,transformer
