index,time,dataset,n_clusters,cluster,num sample,history turn,data ratio,slot acc,turn acc,dialogue acc,checkpoint,feature
0,23-07-20 20:13:07,sgd,1,0,0,4,100,76.75,76.51,72.22,,transformer
1,23-07-20 20:21:21,sgd,1,0,0,4,100,77.08,76.61,71.38,,transformer
2,23-07-20 20:29:29,sgd,1,0,0,4,100,80.0,79.54,75.77,,transformer
3,23-07-20 20:37:40,sgd,1,0,0,4,100,80.67,80.51,75.98,,transformer
4,23-07-20 20:45:54,sgd,1,0,0,4,100,78.5,78.42,73.8,,transformer
5,23-07-20 20:54:05,sgd,1,0,0,4,100,82.5,82.2,78.8,,transformer
6,23-07-20 21:02:14,sgd,1,0,0,4,100,81.08,80.71,76.88,,transformer
7,23-07-20 21:10:21,sgd,1,0,0,4,100,83.0,82.72,78.68,,transformer
8,23-07-20 21:18:26,sgd,1,0,0,4,100,82.83,82.65,78.24,,transformer
9,23-07-20 21:26:31,sgd,1,0,0,4,100,80.67,80.26,76.34,,transformer
10,23-07-20 22:26:35,sgd,1,0,0,4,100,83.33,83.05,79.42,,transformer
11,23-07-20 22:34:43,sgd,1,0,0,4,100,77.83,77.05,73.09,,transformer
12,23-07-20 22:38:48,sgd,2,0,0,4,100,76.0,75.26,70.03,,transformer
13,23-07-20 22:42:50,sgd,1,0,0,4,100,83.75,83.5,80.13,,transformer
14,23-07-20 22:46:27,sgd,2,1,0,4,100,76.25,75.82,70.33,,transformer
15,23-07-20 22:51:03,sgd,1,0,0,4,100,81.75,81.56,78.9,,transformer
16,23-07-20 22:54:16,sgd,2,0,0,4,100,77.08,76.66,72.53,,transformer
17,23-07-20 22:59:14,sgd,1,0,0,4,100,81.17,80.94,77.09,,transformer
18,23-07-20 23:01:55,sgd,2,1,0,4,100,77.08,76.46,70.77,,transformer
19,23-07-20 23:07:20,sgd,1,0,0,4,100,83.67,83.29,79.91,,transformer
20,23-07-20 23:09:43,sgd,2,0,0,4,100,80.0,79.61,75.31,,transformer
21,23-07-20 23:17:19,sgd,2,1,0,4,100,80.92,80.6,76.65,,transformer
22,23-07-20 23:25:07,sgd,2,0,0,4,100,79.08,78.57,72.95,,transformer
23,23-07-20 23:32:41,sgd,2,1,0,4,100,78.42,77.84,72.66,,transformer
24,23-07-20 23:40:23,sgd,2,0,0,4,100,79.83,79.4,75.2,,transformer
25,23-07-21 00:33:44,sgd,1,0,0,4,100,79.88,52.49,14.87,save/sgd/100/4/1-cluster/best,transformer
26,23-07-21 00:35:08,sgd,1,all,0,4,100,79.88,52.49,14.87,save/sgd/100/4/1-cluster/best,transformer
27,23-07-21 00:51:53,sgd,2,0,0,4,100,76.0,75.26,70.03,,transformer
28,23-07-21 01:00:09,sgd,2,1,0,4,100,76.25,75.82,70.33,,transformer
29,23-07-21 01:08:30,sgd,2,0,0,4,100,77.08,76.66,72.53,,transformer
30,23-07-21 01:16:46,sgd,2,1,0,4,100,77.08,76.46,70.77,,transformer
31,23-07-21 01:25:06,sgd,2,0,0,4,100,80.0,79.61,75.31,,transformer
32,23-07-21 01:33:17,sgd,2,1,0,4,100,80.92,80.6,76.65,,transformer
33,23-07-21 01:41:41,sgd,2,0,0,4,100,79.08,78.57,72.95,,transformer
34,23-07-21 01:49:52,sgd,2,1,0,4,100,78.42,77.84,72.66,,transformer
35,23-07-21 01:58:12,sgd,2,0,0,4,100,79.83,79.4,75.2,,transformer
36,23-07-21 02:06:23,sgd,2,1,0,4,100,81.92,81.7,77.92,,transformer
37,23-07-21 02:14:39,sgd,2,0,0,4,100,81.08,80.69,75.73,,transformer
38,23-07-21 02:22:41,sgd,2,1,0,4,100,79.25,78.87,72.99,,transformer
39,23-07-21 02:30:50,sgd,2,0,0,4,100,81.17,80.83,76.63,,transformer
40,23-07-21 02:38:48,sgd,2,1,0,4,100,83.58,83.18,78.97,,transformer
41,23-07-21 02:46:56,sgd,2,0,0,4,100,81.17,80.66,76.55,,transformer
42,23-07-21 02:54:48,sgd,2,1,0,4,100,81.17,80.82,76.12,,transformer
43,23-07-21 03:02:50,sgd,2,0,0,4,100,76.67,76.11,70.53,,transformer
44,23-07-21 03:10:45,sgd,2,1,0,4,100,81.42,80.9,76.09,,transformer
45,23-07-21 03:18:50,sgd,2,0,0,4,100,81.67,81.23,76.7,,transformer
46,23-07-21 03:26:52,sgd,2,1,0,4,100,80.67,80.16,75.92,,transformer
47,23-07-21 03:35:04,sgd,2,0,0,4,100,82.58,82.42,79.35,,transformer
48,23-07-21 03:43:17,sgd,2,0,0,4,100,83.58,83.33,79.65,,transformer
49,23-07-21 03:51:27,sgd,2,0,0,4,100,82.0,81.52,76.83,,transformer
50,23-07-21 03:59:31,sgd,2,0,0,4,100,81.67,81.27,77.0,,transformer
51,23-07-21 04:07:38,sgd,2,0,0,4,100,80.42,79.93,74.31,,transformer
52,23-07-21 05:07:43,sgd,2,0,0,4,100,78.85,57.94,22.64,save/sgd/100/4/2-cluster/best,transformer
53,23-07-21 05:33:41,sgd,2,1,0,4,100,77.6,64.04,33.01,save/sgd/100/4/2-cluster/best,transformer
54,23-07-21 05:35:00,sgd,2,all,0,4,100,78.47,50.68,14.56,save/sgd/100/4/2-cluster/best,transformer
55,23-07-21 05:50:53,sgd,3,0,0,4,100,84.0,83.54,77.64,,transformer
56,23-07-21 05:59:13,sgd,3,1,0,4,100,77.17,76.66,71.48,,transformer
57,23-07-21 06:07:07,sgd,3,2,0,4,100,74.83,74.27,68.46,,transformer
58,23-07-21 06:15:09,sgd,3,0,0,4,100,83.17,82.68,76.43,,transformer
59,23-07-21 06:23:24,sgd,3,1,0,4,100,82.5,82.04,77.01,,transformer
60,23-07-21 06:31:19,sgd,3,2,0,4,100,77.33,77.09,73.48,,transformer
61,23-07-21 06:39:20,sgd,3,0,0,4,100,86.0,85.44,80.48,,transformer
62,23-07-21 06:47:36,sgd,3,1,0,4,100,81.67,81.13,77.46,,transformer
63,23-07-21 06:55:31,sgd,3,2,0,4,100,79.25,78.79,74.25,,transformer
64,23-07-21 07:03:32,sgd,3,0,0,4,100,87.67,87.26,83.11,,transformer
65,23-07-21 07:11:47,sgd,3,1,0,4,100,83.08,82.7,78.82,,transformer
66,23-07-21 07:19:41,sgd,3,2,0,4,100,80.75,80.38,74.94,,transformer
67,23-07-21 07:27:41,sgd,3,0,0,4,100,88.0,87.41,82.22,,transformer
68,23-07-21 07:35:55,sgd,3,1,0,4,100,83.0,82.59,78.25,,transformer
69,23-07-21 07:43:47,sgd,3,2,0,4,100,78.0,77.46,71.75,,transformer
70,23-07-21 07:51:47,sgd,3,0,0,4,100,81.83,81.04,75.51,,transformer
71,23-07-21 08:00:03,sgd,3,1,0,4,100,81.83,81.42,77.33,,transformer
72,23-07-21 08:07:53,sgd,3,2,0,4,100,82.17,81.8,76.84,,transformer
73,23-07-21 08:15:53,sgd,3,0,0,4,100,84.5,83.97,79.38,,transformer
74,23-07-21 08:24:11,sgd,3,1,0,4,100,81.17,80.65,74.84,,transformer
75,23-07-21 08:32:02,sgd,3,2,0,4,100,81.67,81.59,77.35,,transformer
