index,time,dataset,n_clusters,cluster,num sample,history turn,data ratio,slot acc,turn acc,dialogue acc,checkpoint,feature
0,23-07-15 23:02:02,sgd,1,0,0,4,5,70.08,69.62,63.21,,transformer
1,23-07-15 23:06:29,sgd,1,0,0,4,5,77.75,77.23,73.15,,transformer
2,23-07-15 23:11:04,sgd,1,0,0,4,5,79.58,79.22,75.66,,transformer
3,23-07-15 23:15:34,sgd,1,0,0,4,5,82.33,81.96,78.61,,transformer
4,23-07-15 23:20:05,sgd,1,0,0,4,5,82.75,82.41,79.0,,transformer
5,23-07-15 23:24:30,sgd,1,0,0,4,5,83.0,82.56,78.18,,transformer
6,23-07-15 23:28:59,sgd,1,0,0,4,5,84.58,84.21,80.6,,transformer
7,23-07-15 23:33:29,sgd,1,0,0,4,5,82.17,82.02,78.3,,transformer
8,23-07-15 23:37:57,sgd,1,0,0,4,5,85.0,84.75,82.03,,transformer
9,23-07-15 23:42:24,sgd,1,0,0,4,5,84.75,84.53,81.3,,transformer
10,23-07-15 23:46:51,sgd,1,0,0,4,5,85.42,85.15,82.19,,transformer
11,23-07-15 23:51:21,sgd,1,0,0,4,5,85.08,84.66,80.87,,transformer
12,23-07-15 23:55:47,sgd,1,0,0,4,5,85.67,85.61,82.5,,transformer
13,23-07-16 00:00:19,sgd,1,0,0,4,5,85.5,85.18,81.41,,transformer
14,23-07-16 00:04:49,sgd,1,0,0,4,5,86.83,86.56,83.68,,transformer
15,23-07-16 00:09:22,sgd,1,0,0,4,5,83.75,83.5,81.18,,transformer
16,23-07-16 00:13:50,sgd,1,0,0,4,5,87.75,87.49,84.85,,transformer
17,23-07-16 00:18:18,sgd,1,0,0,4,5,85.5,85.16,82.16,,transformer
18,23-07-16 00:22:45,sgd,1,0,0,4,5,83.42,83.05,79.66,,transformer
19,23-07-16 00:27:10,sgd,1,0,0,4,5,86.33,86.15,83.02,,transformer
20,23-07-16 00:34:45,sgd,2,0,0,4,5,72.08,71.64,65.73,,transformer
21,23-07-16 00:39:33,sgd,2,1,0,4,5,69.0,68.43,63.01,,transformer
