index,time,dataset,feature,n_clusters,cluster,num sample,history turn,domain,slot acc,turn acc,dialogue acc,checkpoint
0,23-08-19 17:22:36,multiwoz2.1,embedding,1,0,5,4,attraction,46.76,32.29,9.25,
1,23-08-19 17:22:39,multiwoz2.1,embedding,1,all,5,4,attraction,46.76,32.29,9.25,
2,23-08-19 17:55:58,multiwoz2.1,embedding,1,0,5,4,hotel,44.51,16.65,2.03,
3,23-08-19 17:56:05,multiwoz2.1,embedding,1,all,5,4,hotel,44.51,16.65,2.03,
4,23-08-19 18:32:28,multiwoz2.1,embedding,1,0,5,4,restaurant,37.86,15.44,0.89,
5,23-08-19 18:32:35,multiwoz2.1,embedding,1,all,5,4,restaurant,37.86,15.44,0.89,
6,23-08-19 18:40:56,multiwoz2.1,embedding,1,0,5,4,taxi,49.0,3.89,0.0,
7,23-08-19 18:40:58,multiwoz2.1,embedding,1,all,5,4,taxi,49.0,3.89,0.0,
8,23-08-19 19:21:25,multiwoz2.1,embedding,1,0,5,4,train,32.48,3.8,0.2,
9,23-08-19 19:21:33,multiwoz2.1,embedding,1,all,5,4,train,32.48,3.8,0.2,
10,23-08-19 21:30:46,multiwoz2.1,embedding,1,0,10,4,attraction,45.77,29.63,4.5,
11,23-08-19 21:30:48,multiwoz2.1,embedding,1,all,10,4,attraction,45.77,29.63,4.5,
12,23-08-19 22:22:49,multiwoz2.1,embedding,1,0,10,4,hotel,44.0,16.62,1.01,
13,23-08-19 22:22:56,multiwoz2.1,embedding,1,all,10,4,hotel,44.0,16.62,1.01,
14,23-08-19 23:23:49,multiwoz2.1,embedding,1,0,10,4,restaurant,35.94,14.89,1.78,
15,23-08-19 23:23:57,multiwoz2.1,embedding,1,all,10,4,restaurant,35.94,14.89,1.78,
16,23-08-19 23:37:33,multiwoz2.1,embedding,1,0,10,4,taxi,42.1,2.02,0.0,
17,23-08-19 23:37:35,multiwoz2.1,embedding,1,all,10,4,taxi,42.1,2.02,0.0,
18,23-08-20 00:49:02,multiwoz2.1,embedding,1,0,10,4,train,24.05,1.36,0.0,
19,23-08-20 00:49:09,multiwoz2.1,embedding,1,all,10,4,train,24.05,1.36,0.00,
