,domain,slotname,slotname_acc,domain_acc,cluster
0,attraction,attraction area,0.9683098591549296,0.9012875536480687,0
1,attraction,attraction name,0.8051948051948052,0.9012875536480687,1
2,attraction,attraction type,0.9323529411764706,0.9012875536480687,1
3,hotel,hotel area,0.9769585253456221,0.9504950495049505,1
4,hotel,hotel bookday,0.9763779527559056,0.9504950495049505,1
5,hotel,hotel bookpeople,0.9795081967213115,0.9504950495049505,0
6,hotel,hotel bookstay,0.9820143884892086,0.9504950495049505,1
7,hotel,hotel internet,0.9402173913043478,0.9504950495049505,1
8,hotel,hotel name,0.8733850129198967,0.9504950495049505,1
9,hotel,hotel parking,0.9345238095238095,0.9504950495049505,1
10,hotel,hotel pricerange,0.96875,0.9504950495049505,0
11,hotel,hotel stars,0.9802955665024631,0.9504950495049505,1
12,hotel,hotel type,0.9313304721030042,0.9504950495049505,1
13,restaurant,restaurant area,0.9852507374631269,0.9522623495226235,0
14,restaurant,restaurant bookday,0.9721254355400697,0.9522623495226235,1
15,restaurant,restaurant bookpeople,0.9965277777777778,0.9522623495226235,0
16,restaurant,restaurant booktime,0.9614243323442137,0.9522623495226235,1
17,restaurant,restaurant food,0.958139534883721,0.9522623495226235,0
18,restaurant,restaurant name,0.8514851485148515,0.9522623495226235,1
19,restaurant,restaurant pricerange,0.9691358024691358,0.9522623495226235,0
20,taxi,taxi arriveby,0.8913043478260869,0.7854938271604939,1
21,taxi,taxi departure,0.7188940092165899,0.7854938271604939,1
22,taxi,taxi destination,0.7465437788018433,0.7854938271604939,1
23,taxi,taxi leaveat,0.8934426229508197,0.7854938271604939,1
24,train,train arriveby,0.8932584269662921,0.9413223140495868,1
25,train,train bookpeople,0.9739413680781759,0.9413223140495868,0
26,train,train day,0.9918533604887984,0.9413223140495868,1
27,train,train departure,0.9430379746835443,0.9413223140495868,1
28,train,train destination,0.9651639344262295,0.9413223140495868,1
29,train,train leaveat,0.8421052631578947,0.9413223140495868,0
