,n_clusters,SSE
0,1,63.86089622897207
1,2,59.26637271998884
2,3,55.91916462896276
3,4,52.51979002685212
4,5,47.02491369316727
5,6,42.41726018732399
6,7,41.871757707621846
7,8,34.461187314901785
8,9,36.24773990813732
9,10,32.34939908347589
10,11,28.954571781398293
11,12,28.767082179723317
12,13,27.484035475623934
13,14,24.244493486257653
14,15,22.10219643226798
15,16,20.14463999076695
16,17,20.34760656143179
17,18,20.833779365477113
18,19,17.33372851523771
19,20,15.780156829501287
20,21,15.544944156498193
21,22,15.614334017716315
22,23,13.682291053767388
23,24,14.278773659571133
24,25,12.965255826929706
25,26,12.099139843536099
26,27,11.762955458510149
27,28,11.881087181885372
28,29,11.389599595486391
29,30,10.796440022582042
30,31,10.257179998840158
31,32,9.727640017739683
32,33,8.532003763113797
33,34,8.531409791499176
34,35,8.108672159715658
35,36,8.149673292784257
36,37,6.823411106786056
37,38,6.6241452036477515
38,39,6.199072730598464
39,40,5.7407020750835365
40,41,5.34469114071219
41,42,5.069997937856558
42,43,4.5394453568797655
43,44,4.385191468259208
44,45,3.9932178917688046
45,46,3.6074955714775925
46,47,3.1830812630820073
47,48,3.0034969521800274
48,49,2.653177624677375
49,50,2.3196310837101666
50,51,2.1936678519091313
51,52,1.8150951474735666
52,53,1.5690911809279129
53,54,1.3729547833119238
54,55,1.1768183856959347
55,56,0.9806819880799456
56,57,0.7845455904639564
57,58,0.5884091928479673
58,59,0.3922727952319782
59,60,0.1961363976159891
