,n_clusters,SSE
0,1,319.3718983190464
1,2,302.7077072003651
2,3,302.21536155962826
3,4,286.7193548026513
4,5,268.00293124610766
5,6,261.85947342580283
6,7,268.3160538366308
7,8,251.58508790532517
8,9,251.87188599875782
9,10,243.47100790004038
10,11,238.9531891396785
11,12,236.99106467936554
12,13,242.44902017742865
13,14,227.6208556301001
14,15,225.16985310309713
15,16,222.60974906678854
16,17,216.54608363307582
17,18,219.46380302641208
18,19,213.61639854423362
19,20,206.23982456345303
20,21,207.97687261034653
21,22,202.66120578076118
22,23,195.12248087018577
23,24,195.13378428116815
24,25,190.63305743510787
25,26,192.08865455862986
26,27,189.42590551841784
27,28,186.58844058271805
28,29,182.933477906234
29,30,180.7795930556789
30,31,178.87023746870744
31,32,181.09156526437368
32,33,177.28132631057443
33,34,172.0734212118532
34,35,169.33485100212724
35,36,171.978010444562
36,37,167.65220723274155
37,38,163.79714963954922
38,39,158.4774677147912
39,40,157.4024980459337
40,41,152.75335814754212
41,42,151.1824856315032
42,43,157.90846283621187
43,44,149.88965926620017
44,45,150.69743542509832
45,46,150.86392723094104
46,47,149.34507102217913
47,48,145.04427395146035
48,49,143.09127601226123
49,50,140.2623017328449
50,51,136.9182180127352
51,52,135.21173389569577
52,53,136.48540066571775
53,54,131.3659790317418
54,55,129.07283833468122
55,56,128.8209368941656
56,57,124.72354765595088
57,58,126.26853627030884
58,59,125.68092202659552
59,60,122.28153573257258
60,61,121.4598104659286
61,62,120.0188351897557
62,63,117.78480929924797
63,64,115.2324691761827
64,65,115.08186035538517
65,66,113.15832691920636
66,67,112.22196456351742
67,68,110.79325928302246
68,69,110.44095805369126
69,70,106.97902456491467
70,71,104.64369756764606
71,72,107.33674729348107
72,73,104.44604169172408
73,74,104.38331062594035
74,75,101.81458642963025
75,76,98.22575666527732
76,77,97.38998432025397
77,78,96.3640132643691
78,79,95.7521687389104
79,80,93.9425977297148
80,81,91.76319182499084
81,82,92.29309249236164
82,83,90.57760658322647
83,84,90.70970943693192
84,85,87.39148344499866
85,86,86.79542137299427
86,87,87.52883528612854
87,88,83.75522870798504
88,89,82.40741640359677
89,90,82.06243234760517
90,91,82.44683403321956
91,92,78.26120866044839
92,93,81.40749653429945
93,94,76.55206905939241
94,95,78.56012052432997
95,96,76.36068984098804
96,97,75.51272294103916
97,98,73.52018554178558
98,99,73.43897057646976
99,100,71.9690753078025
100,101,70.46124879528688
101,102,72.35515108985523
102,103,68.57422247557682
103,104,68.44208592891512
104,105,68.34257303842861
105,106,67.66252958215252
106,107,65.79816114716373
107,108,61.95614850031207
108,109,61.58526290342691
109,110,63.46533870269129
110,111,60.00132410989339
111,112,61.29147544629639
112,113,61.04028504234144
113,114,59.50470811405785
114,115,58.73193143086083
115,116,57.43139349023215
116,117,56.4964847105625
117,118,55.24265585041495
118,119,56.825584311623054
119,120,55.63382487440282
120,121,54.58156134899525
121,122,50.64583296866789
122,123,53.40484772211586
123,124,53.301943833410455
124,125,53.61568531769
125,126,50.91788966523903
126,127,49.29632452176867
127,128,48.13232465085531
128,129,49.556215681114196
129,130,47.919443762687166
130,131,46.725866897762856
131,132,47.38981819119201
132,133,45.847096344837595
133,134,46.721025343079
134,135,46.07055858080069
135,136,43.450187371347816
136,137,42.27124998955389
137,138,43.09114633600634
138,139,41.52126752494879
139,140,41.249143538746964
140,141,40.72406285724622
141,142,39.718395535986176
142,143,39.56691065883112
143,144,39.594848713687654
144,145,38.425883252969406
145,146,38.494983784095794
146,147,36.515292851566116
147,148,36.081094370466936
148,149,35.675122313770416
149,150,34.80516394503908
150,151,34.39917902152482
151,152,34.029731381268654
152,153,33.209016279403045
153,154,34.34843963843764
154,155,33.773806520610385
155,156,32.16677260178875
156,157,32.215506243627836
157,158,31.47222647631147
158,159,30.84109966528487
159,160,29.272162157802995
160,161,28.64000150667387
161,162,29.425010351620003
162,163,29.132712099910997
163,164,28.714000742835648
164,165,27.71141437363242
165,166,27.272622550876143
166,167,26.76027728751623
167,168,26.758731517108195
168,169,26.14290701875899
169,170,24.49236698547975
170,171,24.889731607066672
171,172,24.685321919796266
172,173,23.65723101430528
173,174,23.275807961265173
174,175,23.42938140201847
175,176,22.51250393683491
176,177,21.55929790383758
177,178,22.187750023602522
178,179,21.68440392068697
179,180,20.57190884452724
180,181,20.08885345400647
181,182,19.573254643167893
182,183,19.4476071004663
183,184,18.693370139372064
184,185,18.321959810124227
185,186,17.805145805806106
186,187,17.661972556451854
187,188,16.857431366020663
188,189,17.019245707645613
189,190,16.565962686611265
190,191,15.668212460811251
191,192,15.432251791743992
192,193,15.116553825904493
193,194,14.989486784557375
194,195,14.116354135039112
195,196,13.824796293675686
196,197,13.789666775006452
197,198,13.363427477418663
198,199,12.725538327303742
199,200,12.108431691024753
200,201,11.824560015927926
201,202,11.364045155491192
202,203,11.123720329444897
203,204,10.880153122686165
204,205,10.461728362116943
205,206,10.158258421510435
206,207,9.819972718914268
207,208,9.301081442089231
208,209,9.092221378276866
209,210,8.649099250223681
210,211,8.3968809228035
211,212,8.006058408245734
212,213,7.701306543580414
213,214,7.372020015661436
214,215,7.017201874178304
215,216,6.66971308321452
216,217,6.420419237394126
217,218,6.037710037918248
218,219,5.745760885089049
219,220,5.420999448254996
220,221,5.1393078058498896
221,222,4.781131537244305
222,223,4.474478718986978
223,224,4.228609243522517
224,225,3.879860610655233
225,226,3.5912526479386035
226,227,3.254845926675038
227,228,2.9855465772887593
228,229,2.7464108721979072
229,230,2.4258259217439564
230,231,2.116411053946726
231,232,1.8178071868047876
232,233,1.5433584242736706
233,234,1.2738918456787314
234,235,1.0278024767840233
235,236,0.8222419814272186
236,237,0.616681486070414
237,238,0.4111209907136093
238,239,0.20556049535680465
