,n_clusters,SSE
0,1,976130870.7836889
1,2,620588102.1991076
2,3,504475721.5637651
3,4,431598957.37270373
4,5,267139470.44814998
5,6,237852755.1791867
6,7,191410145.72515965
7,8,207691040.22239444
8,9,176839263.4935854
9,10,158138560.51704362
10,11,149112783.6109467
11,12,140539847.77401823
12,13,133622474.02409713
13,14,117203959.49706124
14,15,119681273.96279797
15,16,108860388.90280637
16,17,104734631.6193291
17,18,104252513.37801065
18,19,86676007.9201191
19,20,90823390.7984669
20,21,83115822.751888
21,22,78697737.7928696
22,23,79467246.66146664
23,24,74302927.9085691
24,25,63502364.745525494
25,26,61857340.82964671
26,27,58547266.02555107
27,28,58639251.535952054
28,29,54592556.2011626
29,30,50325699.51881093
30,31,48157220.75426768
31,32,46915514.77696626
32,33,47519012.875272855
33,34,42013612.51043096
34,35,39429126.65401787
35,36,39465958.94326035
36,37,36664608.83039368
37,38,35951104.47706593
38,39,33906813.26832556
39,40,31695122.182370923
40,41,32690667.119101733
41,42,29834730.274900503
42,43,27328047.86207721
43,44,27649868.106743775
44,45,24142540.14370371
45,46,24101381.517356247
46,47,22450389.6546092
47,48,21531635.679691225
48,49,20563610.516964447
49,50,18225004.69638447
50,51,17116166.0426334
51,52,15800291.825595975
52,53,14683953.338088576
53,54,13772149.13314655
54,55,12605718.46797007
55,56,11705342.16155209
56,57,10581016.347526532
57,58,9176473.729615271
58,59,8343903.198812572
59,60,7536001.496184298
60,61,7085119.83006544
61,62,6030298.3877729485
62,63,5305701.646274924
63,64,4712040.044456276
64,65,4170046.8406189037
65,66,3558330.8381381393
66,67,2605481.182159554
67,68,1965410.6478975727
68,69,1484446.6470742186
69,70,995921.4980745767
70,71,450610.2834463597
