,n_clusters,SSE
0,1,185102091.67527956
1,2,81908505.40017542
2,3,62529508.3486712
3,4,55074471.4963503
4,5,48787050.54617347
5,6,47240534.451425485
6,7,41339115.79727439
7,8,38466040.121411435
8,9,37907329.287203826
9,10,33246074.01792564
10,11,30701966.706621718
11,12,29112591.042826038
12,13,27671062.872926753
13,14,24377592.75308477
14,15,23965454.721060082
15,16,23727183.62743524
16,17,21754152.4161912
17,18,19796584.99978694
18,19,18621091.49670752
19,20,17185037.63573372
20,21,16863417.852416392
21,22,16371155.011032842
22,23,15013521.05866285
23,24,13520424.999743747
24,25,13523384.678675797
25,26,12420944.619232735
26,27,11916462.829604477
27,28,10893108.99178538
28,29,9115560.891378112
29,30,8223965.956086708
30,31,7889948.399642041
31,32,6484666.985741119
32,33,5746842.877734887
33,34,4778274.510020148
34,35,4084955.8290898316
35,36,3450102.0455353684
36,37,2749526.260945294
37,38,2193944.7513470403
38,39,1866564.1638758038
39,40,1165988.3792857302
40,41,711473.8744532585
41,42,291367.8756073776
