,n_clusters,SSE
0,1,1187072602.05437
1,2,732113132.7260371
2,3,598294131.5890074
3,4,552019496.5117877
4,5,524902387.2736908
5,6,505429875.6408483
6,7,481197525.07356644
7,8,473208876.09732425
8,9,446327876.60861427
9,10,446402993.6489336
10,11,430015945.0898237
11,12,425583642.43380076
12,13,423910046.6315693
13,14,395375965.29447794
14,15,385694746.609673
15,16,387143444.46327144
16,17,384690403.06993365
17,18,370312303.86191946
18,19,373303937.64724344
19,20,353840994.87626976
20,21,357070523.37372994
21,22,351344829.9659133
22,23,351296274.6090785
23,24,334641633.13120866
24,25,335016466.8395961
25,26,329647292.2886601
26,27,319786838.58391124
27,28,324621585.78148365
28,29,313926986.0703975
29,30,313287374.47107583
30,31,305298821.5592799
31,32,299161139.6714536
32,33,297326044.3182072
33,34,288345012.4347679
34,35,293947979.7775001
35,36,282087036.5550308
36,37,273756709.7952476
37,38,271355660.81925774
38,39,277614348.82460475
39,40,277634063.8268207
40,41,266948776.93452257
41,42,262193089.14982006
42,43,257452042.7449644
43,44,259520385.5950855
44,45,253382030.48568285
45,46,252055882.78804153
46,47,247804895.94425443
47,48,245246625.5570712
48,49,240605578.3189324
49,50,242314082.78133717
50,51,237124182.9049048
51,52,238145182.5171909
52,53,233168394.90555775
53,54,235249771.12892297
54,55,228811227.12201253
55,56,225530159.65525162
56,57,226288828.59803176
57,58,219598478.2220257
58,59,219448898.78682268
59,60,214551903.61516804
60,61,212222017.72938946
61,62,211018023.47286463
62,63,208017386.4039613
63,64,207861893.29011542
64,65,200613556.04984096
65,66,201181669.27557233
66,67,201929997.81081408
67,68,200530270.56427616
68,69,193520313.14408123
69,70,194466944.06918526
70,71,191749046.7098251
71,72,186759629.01450378
72,73,186086793.96664938
73,74,185904422.0151441
74,75,184046912.2302754
75,76,185725344.936008
76,77,180192828.22645408
77,78,176262923.23593736
78,79,172307769.7020453
79,80,171682558.02207148
80,81,168843103.1902643
81,82,167761668.88173598
82,83,164888312.0398042
83,84,164109562.5590128
84,85,160582964.2797881
85,86,161907546.15215626
86,87,158549104.53066367
87,88,160215350.36903304
88,89,160348987.19279453
89,90,153287194.9500591
90,91,155541830.7018328
91,92,149424650.41803503
92,93,147800388.11767414
93,94,144492212.21377024
94,95,146173526.9049075
95,96,140338339.88272765
96,97,141693522.7884321
97,98,138179066.71875098
98,99,137999070.82804972
99,100,136670136.25206715
100,101,134536463.10567704
101,102,130538045.88430244
102,103,130580077.67940395
103,104,129988650.03211045
104,105,126526781.53202309
105,106,124738109.48348111
106,107,124547166.62821075
107,108,122751585.02665782
108,109,123229152.22133648
109,110,117850960.6389214
110,111,118021800.83938843
111,112,116841399.32562688
112,113,113666989.52729966
113,114,111240306.01372476
114,115,112721735.51819658
115,116,110419013.89632127
116,117,107713104.70805265
117,118,106959266.0078612
118,119,104599945.71334651
119,120,103577434.95255782
120,121,100260900.198783
121,122,100078902.02450429
122,123,98225606.29791929
123,124,99372169.64106911
124,125,94671032.66620998
125,126,94436815.65618587
126,127,92363800.09306371
127,128,90311197.73457351
128,129,91151452.36290415
129,130,87783423.23780243
130,131,85539099.55214506
131,132,86983109.06847629
132,133,85350952.85745656
133,134,85679817.42879269
134,135,80833120.20993143
135,136,82711233.5689382
136,137,77662601.63977672
137,138,76876654.59298456
138,139,78531404.73397689
139,140,76123202.91333395
140,141,73813810.08037901
141,142,72570814.23152946
142,143,72623909.7002847
143,144,68937192.57654157
144,145,69812937.72362271
145,146,66884105.132294945
146,147,66287608.423228204
147,148,65389959.860672936
148,149,63585285.220837295
149,150,64367302.170929395
150,151,62996973.18166727
151,152,60854792.38590744
152,153,60461039.977165125
153,154,56924994.96614566
154,155,57839739.51503628
155,156,56861003.50128336
156,157,55883904.778158456
157,158,53028619.2929541
158,159,55453363.493746586
159,160,52418172.30597921
160,161,50265461.80249262
161,162,52220175.53437832
162,163,49907700.99308129
163,164,50049699.40498741
164,165,47229341.161565475
165,166,48013046.58434156
166,167,44657283.75988315
167,168,43204061.182778195
168,169,43829802.21732769
169,170,42845436.76170707
170,171,42660344.24804957
171,172,41183824.57144049
172,173,38979940.4192716
173,174,38867427.23944264
174,175,37331759.88167817
175,176,37002079.11553356
176,177,35865308.557588145
177,178,35534004.64701571
178,179,35621859.35487824
179,180,33100608.356207073
180,181,33095136.566303518
181,182,32305992.069161013
182,183,31309243.106177777
183,184,30188972.336600646
184,185,28851841.022287697
185,186,28431704.120838787
186,187,27934781.680236388
187,188,27073582.627272226
188,189,26114286.216732696
189,190,25316874.502319127
190,191,24267886.103331193
191,192,23691117.467801925
192,193,23501016.978280388
193,194,21955599.849343836
194,195,21239720.54140067
195,196,20767356.776953176
196,197,20461333.835951217
197,198,19634344.143511474
198,199,18715645.44131042
199,200,18215120.011844605
200,201,17444833.927689552
201,202,16502587.284215787
202,203,16282314.09282418
203,204,15919847.054898439
204,205,15570298.384649914
205,206,14751712.25526451
206,207,13474295.277756263
207,208,12867220.126438327
208,209,12646763.091354446
209,210,11941385.389563603
210,211,11340825.304234639
211,212,11116142.045085348
212,213,10514282.491881927
213,214,9723363.884927772
214,215,9268244.70952195
215,216,9078861.025471324
216,217,8164548.922532972
217,218,7804660.045384827
218,219,7228060.63032884
219,220,6827506.79970861
220,221,6357466.257847867
221,222,6053461.642386043
222,223,5606899.335511137
223,224,5128428.510341199
224,225,4680668.605260485
225,226,4350328.683862202
226,227,3791436.4776431913
227,228,3379588.774988795
228,229,3018639.4786538244
