index,time,dataset,n_clusters,cluster,num sample,history turn,data ratio,slot acc,turn acc,dialogue acc,checkpoint,feature
0,23-07-25 13:41:44,multiwoz2.2,1,0,0,4,100,42.0,39.04,21.31,,transformer
1,23-07-25 13:47:12,multiwoz2.2,1,0,0,4,100,56.0,53.26,38.9,,transformer
2,23-07-25 13:52:04,multiwoz2.2,1,0,0,4,100,64.25,61.73,47.08,,transformer
3,23-07-25 13:57:00,multiwoz2.2,1,0,0,4,100,65.75,64.01,45.86,,transformer
4,23-07-25 14:02:04,multiwoz2.2,1,0,0,4,100,67.5,65.52,48.63,,transformer
5,23-07-25 14:07:10,multiwoz2.2,1,0,0,4,100,67.17,64.17,48.24,,transformer
6,23-07-25 14:12:17,multiwoz2.2,1,0,0,4,100,67.83,65.44,46.58,,transformer
7,23-07-25 14:17:33,multiwoz2.2,1,0,0,4,100,69.67,66.57,48.61,,transformer
8,23-07-25 14:22:45,multiwoz2.2,1,0,0,4,100,70.33,67.1,49.02,,transformer
9,23-07-25 14:27:53,multiwoz2.2,1,0,0,4,100,70.58,67.43,49.17,,transformer
10,23-07-25 14:32:54,multiwoz2.2,1,0,0,4,100,71.5,68.76,50.7,,transformer
11,23-07-25 14:37:56,multiwoz2.2,1,0,0,4,100,73.25,70.59,53.95,,transformer
12,23-07-25 14:43:04,multiwoz2.2,1,0,0,4,100,73.42,70.72,53.15,,transformer
13,23-07-25 14:48:05,multiwoz2.2,1,0,0,4,100,75.67,73.24,52.7,,transformer
14,23-07-25 14:53:03,multiwoz2.2,1,0,0,4,100,76.0,73.24,55.08,,transformer
15,23-07-25 14:58:02,multiwoz2.2,1,0,0,4,100,77.25,74.9,56.55,,transformer
16,23-07-25 15:03:01,multiwoz2.2,1,0,0,4,100,74.33,71.86,53.55,,transformer
17,23-07-25 15:07:59,multiwoz2.2,1,0,0,4,100,76.5,74.48,57.14,,transformer
18,23-07-25 15:12:51,multiwoz2.2,1,0,0,4,100,76.0,73.13,56.21,,transformer
19,23-07-25 15:17:41,multiwoz2.2,1,0,0,4,100,75.75,73.62,56.5,,transformer
20,23-07-25 15:22:33,multiwoz2.2,1,0,0,4,100,77.0,74.33,58.33,,transformer
21,23-07-25 15:26:46,multiwoz2.2,1,0,0,4,100,72.91,60.25,31.83,save/multiwoz2.2/attraction/4/1-cluster/best,transformer
22,23-07-25 15:26:49,multiwoz2.2,1,all,0,4,100,72.91,60.25,31.83,save/multiwoz2.2/attraction/4/1-cluster/best,transformer
23,23-07-25 15:36:35,multiwoz2.2,2,0,0,4,100,50.58,47.89,30.08,,transformer
24,23-07-25 15:42:26,multiwoz2.2,2,1,0,4,100,27.67,27.67,3.69,,transformer
25,23-07-25 15:47:40,multiwoz2.2,2,0,0,4,100,63.92,61.82,46.54,,transformer
26,23-07-25 15:52:59,multiwoz2.2,2,1,0,4,100,51.17,51.17,23.99,,transformer
27,23-07-25 15:57:58,multiwoz2.2,2,0,0,4,100,66.08,64.33,46.2,,transformer
28,23-07-25 16:02:49,multiwoz2.2,2,1,0,4,100,62.0,62.0,37.87,,transformer
29,23-07-25 16:07:46,multiwoz2.2,2,0,0,4,100,66.58,65.66,50.14,,transformer
30,23-07-25 16:12:27,multiwoz2.2,2,1,0,4,100,72.17,72.17,46.86,,transformer
31,23-07-25 16:17:38,multiwoz2.2,2,0,0,4,100,68.58,65.99,52.32,,transformer
32,23-07-25 16:22:21,multiwoz2.2,2,1,0,4,100,72.0,72.0,49.26,,transformer
33,23-07-25 16:27:33,multiwoz2.2,2,0,0,4,100,68.08,66.18,48.47,,transformer
34,23-07-25 16:32:17,multiwoz2.2,2,1,0,4,100,73.83,73.83,51.48,,transformer
35,23-07-25 16:37:31,multiwoz2.2,2,0,0,4,100,70.17,68.58,51.62,,transformer
36,23-07-25 16:42:08,multiwoz2.2,2,1,0,4,100,76.33,76.33,52.79,,transformer
37,23-07-25 16:47:30,multiwoz2.2,2,0,0,4,100,71.08,69.48,52.72,,transformer
38,23-07-25 16:52:05,multiwoz2.2,2,1,0,4,100,78.5,78.5,56.46,,transformer
39,23-07-25 16:57:16,multiwoz2.2,2,0,0,4,100,72.42,70.53,55.06,,transformer
40,23-07-25 17:01:50,multiwoz2.2,2,1,0,4,100,77.08,77.08,51.84,,transformer
41,23-07-25 17:06:53,multiwoz2.2,2,0,0,4,100,72.17,70.32,56.25,,transformer
42,23-07-25 17:11:24,multiwoz2.2,2,1,0,4,100,79.58,79.58,56.34,,transformer
43,23-07-25 17:16:33,multiwoz2.2,2,0,0,4,100,71.42,69.89,54.14,,transformer
44,23-07-25 17:21:00,multiwoz2.2,2,1,0,4,100,80.17,80.17,55.72,,transformer
